	Protein	Domain	Start	Stop
1	UPI002416DB26	IPR002018	31	534
2	UPI00241A24BB	IPR002018	6	498
3	UPI0023FE1AC2	IPR002018	331	851
4	UPI002454D230	IPR002018	10	287
5	UPI00253DAD4C	IPR002018	7	73
6	UPI0024C42E25	IPR000383	6	227
7	UPI0024C42E25	IPR005674	7	250
8	UPI00246D4788	IPR002018	556	970
9	UPI00246D4788	IPR002018	35	535
10	UPI0023E985D6	IPR013736	20	77
11	UPI0024454D86	IPR013736	388	639
12	UPI0024454D86	IPR005674	56	645
13	UPI0024454D86	IPR000383	59	347
14	UPI0024890A13	IPR000383	41	146
15	UPI002458E61C	IPR000383	26	313
16	UPI002458E61C	IPR013736	342	564
17	UPI002458E61C	IPR005674	22	379
18	UPI002462D416	IPR002018	20	203
19	UPI002382D91F	IPR002018	47	398
20	UPI002382D91F	IPR002018	437	546
21	UPI00235A632F	IPR002018	26	538
22	UPI002418C60E	IPR002018	35	355
23	UPI002418C60E	IPR002018	384	487
24	UPI00245DD7B9	IPR005674	475	631
25	UPI00245DD7B9	IPR005674	15	420
26	UPI00245DD7B9	IPR000383	18	293
27	UPI00245DD7B9	IPR013736	336	625
28	UPI00236DF780	IPR000383	78	378
29	UPI00236DF780	IPR013736	400	621
30	UPI00255E34E9	IPR002018	5	103
31	UPI0023CCD92E	IPR000383	33	174
32	UPI0023A3F534	IPR002018	434	533
33	UPI0023A3F534	IPR002018	35	393
34	UPI002461601D	IPR002018	38	511
35	UPI0023A76139	IPR013736	317	557
36	UPI0023A76139	IPR005674	19	564
37	UPI0023A76139	IPR000383	23	280
38	UPI0024902C5D	IPR000383	22	271
39	UPI0024902C5D	IPR013736	301	517
40	UPI0024902C5D	IPR005674	22	499
41	UPI0024B8D1E8	IPR000383	433	542
42	UPI0024552585	IPR005674	74	679
43	UPI0024552585	IPR000383	76	391
44	UPI0024552585	IPR013736	516	673
45	UPI0024E10448	IPR002018	21	535
46	UPI0024D1D929	IPR002018	31	525
47	UPI00257791D9	IPR002018	27	520
48	UPI0024601815	IPR002018	17	317
49	UPI0024A34F99	IPR005674	55	399
50	UPI0024A34F99	IPR000383	55	318
51	UPI00240FF9EF	IPR002018	48	591
52	UPI0023599200	IPR002018	31	494
53	UPI002455345E	IPR002018	17	512
54	UPI0024BAD935	IPR000383	199	525
55	UPI0024BAD935	IPR013736	551	795
56	UPI0024567D1E	IPR002018	6	488
57	UPI0025544744	IPR002018	8	480
58	UPI0023F1C63E	IPR002018	5	329
59	UPI0023F1C63E	IPR002018	331	427
60	UPI0024DF83B5	IPR002018	29	533
61	UPI0024848CF1	IPR002018	39	94
62	UPI00245C2289	IPR013736	301	519
63	UPI00245C2289	IPR005674	22	514
64	UPI00245C2289	IPR000383	22	272
65	UPI0023CF1878	IPR000383	66	196
66	UPI002375822A	IPR002018	33	374
67	UPI002476A39E	IPR013736	319	521
68	UPI002476A39E	IPR005674	22	513
69	UPI002476A39E	IPR000383	22	268
70	UPI0023E13601	IPR002018	18	536
71	UPI0025663D3B	IPR000383	5	170
72	UPI0025663D3B	IPR013736	220	460
73	UPI0025663D3B	IPR005674	10	264
74	UPI00247800E6	IPR002018	23	496
75	UPI00236FF4C2	IPR002018	43	521
76	UPI002467FC87	IPR002018	36	550
77	UPI0023DD0995	IPR002018	72	591
78	UPI0023F168A1	IPR002018	5	492
79	UPI0024DB3175	IPR002018	57	476
80	UPI00242D907A	IPR000383	10	79
81	UPI0023FE0CBF	IPR002018	10	468
82	UPI0024326D45	IPR000383	33	177
83	UPI0024B180B1	IPR013736	375	618
84	UPI0024B180B1	IPR000383	78	348
85	UPI002479A943	IPR002018	19	526
86	UPI002548205F	IPR002018	19	498
87	UPI0024A7E2E2	IPR002018	3	250
88	UPI00239A2D03	IPR000383	40	311
89	UPI00239A2D03	IPR005674	36	591
90	UPI00239A2D03	IPR013736	350	585
91	UPI0023FEE4E8	IPR002018	62	575
92	UPI00253FEB86	IPR002018	86	568
93	UPI0023B729CC	IPR000383	4	79
94	UPI0023B729CC	IPR013736	194	433
95	UPI0023B729CC	IPR005674	98	439
96	UPI0023ABE538	IPR002018	81	547
97	UPI00245A27BD	IPR002018	7	456
98	UPI002475E759	IPR013736	316	505
99	UPI002475E759	IPR000383	47	285
100	UPI002475E759	IPR005674	48	353
101	UPI00236807ED	IPR002018	39	556
102	UPI0023FDF2B2	IPR002018	23	248
103	UPI0023FDF2B2	IPR002018	260	491
104	UPI00237F88D3	IPR000383	23	272
105	UPI00237F88D3	IPR013736	303	529
106	UPI00237F88D3	IPR005674	20	511
107	UPI0024982822	IPR002018	4	180
108	UPI0024982822	IPR002018	181	500
109	UPI0023FAE60B	IPR002018	12	83
110	UPI002375D585	IPR000383	53	353
111	UPI002375D585	IPR013736	374	582
112	UPI002412C8F9	IPR013736	528	749
113	UPI002412C8F9	IPR000383	186	499
