	Protein	Domain	Start	Stop
1	UPI0024910CC1	IPR000383	60	323
2	UPI0024273556	IPR002018	2	347
3	UPI00248160CB	IPR002018	2	321
4	UPI00248160CB	IPR002018	346	455
5	UPI002410E054	IPR002018	24	542
6	UPI0023DA282A	IPR002018	20	508
7	UPI00247842D5	IPR002018	22	499
8	UPI002483FFE3	IPR002018	25	558
9	UPI0023B9BF0B	IPR002018	18	434
10	UPI00246DBF2E	IPR002018	22	522
11	UPI0023E01707	IPR002018	58	519
12	UPI00247209EE	IPR005674	12	156
13	UPI00247209EE	IPR000383	15	267
14	UPI0024BFF21F	IPR002018	10	514
15	UPI00246F8B40	IPR005674	51	532
16	UPI00246F8B40	IPR000383	51	297
17	UPI00246F8B40	IPR013736	332	534
18	UPI0023CAA333	IPR000383	62	323
19	UPI00249CBBA6	IPR013736	419	601
20	UPI00249CBBA6	IPR000383	111	370
21	UPI00249CBBA6	IPR005674	111	644
22	UPI0024E1E203	IPR002018	37	579
23	UPI00247737BE	IPR000383	58	222
24	UPI00247737BE	IPR005674	55	217
25	UPI00247737BE	IPR013736	329	581
26	UPI00254817B8	IPR002018	8	215
27	UPI0025493ED3	IPR002018	171	645
28	UPI0023B864AE	IPR002018	4	511
29	UPI0024664F6E	IPR000383	26	60
30	UPI0023DFB079	IPR002018	52	617
31	UPI002499234D	IPR002018	34	560
32	UPI002499234D	IPR002018	619	1057
33	UPI002484805D	IPR005674	10	490
34	UPI002484805D	IPR013736	269	490
35	UPI002484805D	IPR000383	10	255
36	UPI0023FA21CB	IPR002018	6	463
37	UPI00256D33AE	IPR002018	36	376
38	UPI0024E1DFD5	IPR002018	96	622
39	UPI00257040B7	IPR013736	318	519
40	UPI00257040B7	IPR005674	25	526
41	UPI00257040B7	IPR000383	28	288
42	UPI002483E0BF	IPR002018	18	503
43	UPI002557A4E1	IPR002018	21	560
44	UPI002477ACCC	IPR002018	49	541
45	UPI00255ADCF4	IPR013736	336	549
46	UPI00255ADCF4	IPR000383	16	283
47	UPI00255ADCF4	IPR005674	12	555
48	UPI0024A09FBE	IPR002018	72	524
49	UPI0024659C07	IPR002018	28	571
50	UPI002466A9CC	IPR000383	19	277
51	UPI002466A9CC	IPR013736	334	536
52	UPI002466A9CC	IPR005674	19	162
53	UPI0024A1880E	IPR013736	328	548
54	UPI0024A1880E	IPR000383	34	295
55	UPI0024A1880E	IPR005674	30	553
56	UPI002542F6C5	IPR000383	2	121
57	UPI00249BE4B1	IPR002018	3	309
58	UPI00248C2C67	IPR000383	36	301
59	UPI00248C2C67	IPR013736	326	548
60	UPI00248C2C67	IPR005674	32	552
61	UPI00244B3090	IPR000383	67	250
62	UPI00249BAC1E	IPR005674	21	373
63	UPI00249BAC1E	IPR000383	24	306
64	UPI00249BAC1E	IPR013736	332	569
65	UPI0024B58767	IPR002018	51	593
66	UPI002411D3A6	IPR002018	30	263
67	UPI0023A33E35	IPR002018	25	88
68	UPI00247F3B00	IPR002018	69	176
69	UPI0023F77C3E	IPR000383	203	522
70	UPI0023F77C3E	IPR013736	548	792
71	UPI0023F77C3E	IPR005674	209	774
72	UPI0024A4A830	IPR013736	404	529
73	UPI0024A4A830	IPR000383	62	293
74	UPI002435E999	IPR002018	24	534
75	UPI0024A8B3A4	IPR002018	30	482
76	UPI0024BD780F	IPR002018	20	490
77	UPI0023DE84ED	IPR002018	2	458
78	UPI0023D8376B	IPR000383	18	269
79	UPI0023D8376B	IPR013736	298	519
80	UPI0023D8376B	IPR005674	16	502
