	Protein	Domain	Start	Stop
1	UPI00231CC44C	IPR000209	261	591
2	UPI00231CC44C	IPR036852	259	606
3	UPI0025628AB7	IPR036852	3	58
4	UPI0024DA1E09	IPR000209	132	594
5	UPI0024DA1E09	IPR010259	33	105
6	UPI0024DA1E09	IPR036852	108	606
7	UPI002575C36A	IPR036852	274	608
8	UPI002575C36A	IPR000209	344	626
9	UPI00248EA7BB	IPR036852	108	437
10	UPI00248EA7BB	IPR000209	140	409
11	UPI0024D3104B	IPR036852	194	526
12	UPI0024D3104B	IPR000209	229	493
13	UPI00248198AF	IPR000209	64	327
14	UPI00248198AF	IPR036852	46	329
15	UPI002555BB52	IPR010259	27	117
16	UPI002555BB52	IPR000209	157	389
17	UPI002555BB52	IPR036852	134	389
18	UPI00255B0704	IPR036852	193	726
19	UPI00255B0704	IPR010259	71	188
20	UPI00255B0704	IPR000209	216	697
21	UPI0025549B12	IPR000209	172	399
22	UPI0025549B12	IPR010259	57	134
23	UPI0025549B12	IPR036852	98	399
24	UPI0025736C78	IPR036852	146	483
25	UPI0025736C78	IPR000209	153	474
26	UPI0024B2C53B	IPR036852	248	610
27	UPI0024B2C53B	IPR000209	407	546
28	UPI002342D963	IPR036852	2	47
29	UPI0022D08AE7	IPR000209	39	501
30	UPI0022D08AE7	IPR036852	32	511
31	UPI0024AEFC8A	IPR000209	348	665
32	UPI0024AEFC8A	IPR036852	311	711
33	UPI00255DA220	IPR036852	6	235
34	UPI00255DA220	IPR000209	17	232
35	UPI00256B29DF	IPR036852	193	502
36	UPI00256B29DF	IPR000209	207	470
37	UPI00256B29DF	IPR010259	64	178
38	UPI002304EBFD	IPR010259	5	75
39	UPI002304EBFD	IPR036852	84	337
40	UPI002304EBFD	IPR000209	107	339
41	UPI00255571EA	IPR036852	139	384
42	UPI00255571EA	IPR000209	157	373
43	UPI00256E8007	IPR010259	38	155
44	UPI00256E8007	IPR000209	186	654
45	UPI00256E8007	IPR036852	93	720
