	Protein	Domain	Start	Stop
1	UPI00237C33BE	IPR029058	58	296
2	UPI0023CE9658	IPR029058	26	276
3	UPI0023B8FEAA	IPR029058	22	250
4	UPI002497D449	IPR029058	48	127
5	UPI002388C6CC	IPR029058	42	241
6	UPI0023910D96	IPR029058	28	264
7	UPI002456336C	IPR029058	3	257
8	UPI002552AB08	IPR029058	25	306
9	UPI0023DFBD1C	IPR029058	1	241
10	UPI002418F463	IPR029058	7	256
11	UPI00248C2B3D	IPR029058	173	418
12	UPI0024B4A8C1	IPR029058	62	630
13	UPI00253F272E	IPR029058	14	291
14	UPI0023AFA38A	IPR029058	21	245
15	UPI00237EDBCE	IPR029058	396	486
16	UPI0024AC9DF6	IPR029058	33	311
17	UPI0023B349DD	IPR029058	414	655
18	UPI00248CB710	IPR029058	28	385
19	UPI00253EE350	IPR029058	20	211
20	UPI0024C051CD	IPR029058	9	226
21	UPI0024749A42	IPR029058	1	261
22	UPI002417B709	IPR029058	63	356
23	UPI0023E0A26D	IPR029058	117	371
24	UPI00256E97B8	IPR029058	44	280
25	UPI002443F018	IPR029058	71	448
26	UPI0024B6883A	IPR029058	141	375
27	UPI0024A250F5	IPR029058	7	283
28	UPI0024B7B111	IPR029058	12	284
29	UPI00239D3D60	IPR029058	11	269
30	UPI0023F6ADD0	IPR029058	4	257
31	UPI0024583649	IPR029058	72	322
32	UPI0023F9B882	IPR029058	539	789
33	UPI0024846DD7	IPR029058	12	112
34	UPI0025687CBD	IPR029058	4	87
35	UPI0023C24F88	IPR029058	58	309
36	UPI0023DAB8BE	IPR029058	56	350
37	UPI00245BC88D	IPR029058	19	293
38	UPI00238A30CE	IPR029058	65	284
39	UPI0024AC8FDB	IPR029058	487	740
40	UPI0024B630E6	IPR029058	590	839
41	UPI00238D80D2	IPR029058	3	239
42	UPI0024135FC7	IPR029058	28	420
43	UPI0023B231D2	IPR029058	2	313
44	UPI00239C6537	IPR029058	3	178
45	UPI00254FEE14	IPR029058	31	278
46	UPI0024151BE6	IPR029058	4	288
47	UPI0023A3AE7E	IPR029058	33	483
48	UPI00249A43DD	IPR029058	3	374
49	UPI00240F9368	IPR029058	9	294
50	UPI002373D210	IPR029058	3	256
51	UPI00256F2D1B	IPR029058	22	207
52	UPI0024ACEDE0	IPR029058	13	280
53	UPI0023EC1CBF	IPR029058	9	287
54	UPI0023A56AE0	IPR029058	44	379
55	UPI0024C4F509	IPR029058	31	540
56	UPI0023DDA113	IPR029058	55	316
57	UPI00236C77E3	IPR029058	426	569
58	UPI002447AD37	IPR029058	5	189
59	UPI0024826DDF	IPR029058	933	1044
60	UPI002546FF1A	IPR029058	6	228
61	UPI0024971044	IPR029058	6	441
62	UPI0023A01EE2	IPR029058	443	699
63	UPI0024B56E16	IPR029058	3	259
64	UPI0024BCF3BF	IPR029058	37	272
65	UPI0023C1A22D	IPR029058	67	276
66	UPI0024B679D0	IPR029058	368	618
67	UPI002478B139	IPR029058	4	259
68	UPI00255B9D7F	IPR029058	133	307
69	UPI00255B9D7F	IPR010126	48	264
70	UPI00255B9D7F	IPR029058	35	130
71	UPI00255B9D7F	IPR010126	50	239
72	UPI0024B0D483	IPR029058	7	279
73	UPI0024839C7D	IPR029058	22	234
74	UPI00242B86FA	IPR029058	18	287
75	UPI0023D803A2	IPR029058	23	245
76	UPI00254A3D42	IPR029058	45	346
77	UPI0024354E14	IPR029058	37	274
78	UPI0023C35050	IPR029058	43	306
79	UPI002481D4F9	IPR029058	105	502
80	UPI0025757E61	IPR029058	7	282
81	UPI0023CC5E79	IPR029058	120	319
82	UPI0024585690	IPR029058	167	413
83	UPI0023F14C53	IPR029058	4	281
84	UPI00242D7DA9	IPR029058	25	235
85	UPI0024B01BB9	IPR029058	41	448
86	UPI0023A64BCA	IPR029058	137	548
87	UPI0023E9C3F0	IPR029058	56	332
88	UPI00238AC56A	IPR029058	64	289
89	UPI0024B1CB75	IPR029058	4	279
90	UPI00248E3368	IPR029058	2943	3178
91	UPI00246C454A	IPR029058	25	340
92	UPI002463BD78	IPR029058	25	305
93	UPI002575B0FE	IPR029058	28	248
94	UPI0024042F55	IPR029058	439	696
95	UPI00244A92A8	IPR029058	6	234
96	UPI002576F045	IPR029058	4	250
97	UPI00249CCCCA	IPR029058	660	916
98	UPI00244C642C	IPR029058	376	644
99	UPI0024B3B0E8	IPR029058	37	287
100	UPI0024D9A808	IPR029058	557	792
101	UPI0024284398	IPR029058	8	256
102	UPI00238C54B7	IPR029058	9	252
103	UPI0023A40A61	IPR029058	45	360
104	UPI002458124B	IPR029058	48	302
105	UPI002374CA96	IPR029058	11	206
106	UPI0024A9C8E7	IPR029058	6	282
107	UPI00240E58C6	IPR011118	25	551
108	UPI00240E58C6	IPR029058	119	471
109	UPI00240E58C6	IPR011118	72	548
110	UPI0024149BE0	IPR029058	125	456
111	UPI00256357A2	IPR029058	47	325
112	UPI00253C233C	IPR029058	84	406
113	UPI0023E1ECBE	IPR029058	108	361
114	UPI00239F7321	IPR029058	30	211
115	UPI0024930F4C	IPR029058	8187	8450
116	UPI00254BA07D	IPR029058	18	285
117	UPI0023FF7307	IPR029058	26	314
118	UPI0024B0C4A8	IPR029058	22	365
119	UPI002416ED20	IPR029058	105	390
120	UPI00244C77CE	IPR029058	1151	1408
121	UPI00240C9EF1	IPR029058	71	352
122	UPI00244A7170	IPR029058	2	301
123	UPI0024338524	IPR029058	2	255
124	UPI0023DC0B72	IPR029058	490	633
125	UPI002570084D	IPR029058	367	675
126	UPI002456E8F5	IPR029058	2	267
127	UPI0024C1D6C4	IPR029058	9	184
128	UPI002551FF43	IPR029058	13	256
129	UPI00245DB722	IPR029058	2	195
130	UPI0023B8A401	IPR029058	70	482
131	UPI0023759A4D	IPR029058	54	247
132	UPI002442EB2C	IPR029058	2965	3179
133	UPI0024D673C1	IPR029058	16	244
134	UPI00247D9E4E	IPR029058	114	385
135	UPI00246D353E	IPR029058	83	451
136	UPI0024089FAE	IPR029058	20	297
137	UPI0023E744CC	IPR029058	46	413
138	UPI0023E34C5B	IPR029058	415	670
139	UPI0024B1B992	IPR029058	222	428
140	UPI0023B211F4	IPR029058	5	250
141	UPI0023B0EEEF	IPR029058	61	283
142	UPI00255CC213	IPR029058	30	275
143	UPI0025541DB9	IPR029058	61	325
144	UPI0024634F87	IPR010126	64	268
145	UPI0024634F87	IPR010126	68	268
146	UPI0024634F87	IPR029058	157	358
147	UPI0024634F87	IPR029058	67	151
148	UPI0025416248	IPR029058	39	325
149	UPI00255373D5	IPR029058	3	228
150	UPI0024B7FF8E	IPR029058	155	372
151	UPI0023E19495	IPR029058	39	292
