	Protein	Domain	Start	Stop
1	UPI00230E2470	IPR029058	76	261
2	UPI0023996FA8	IPR029058	5	131
3	UPI0023FCD844	IPR029058	91	447
4	UPI00232D1DE9	IPR029058	387	619
5	UPI002359C1E0	IPR029058	5	252
6	UPI0023AD44EB	IPR029058	9	288
7	UPI00232CB444	IPR029058	2	244
8	UPI00241AC02A	IPR029058	30	207
9	UPI00248389CA	IPR029058	2	238
10	UPI00246FA695	IPR029058	2	251
11	UPI0023DF5F8D	IPR029058	43	314
12	UPI00232C5CDB	IPR029058	77	341
13	UPI00234AF430	IPR029058	51	320
14	UPI00239D8BCC	IPR029058	24	299
15	UPI0024237CA3	IPR029058	360	584
16	UPI0022E4397B	IPR029058	114	261
17	UPI0022D23CB5	IPR002921	635	770
18	UPI0022D23CB5	IPR029058	563	772
19	UPI0023E67145	IPR029058	12	323
20	UPI00231BB79F	IPR029058	33	75
21	UPI00242E5DAF	IPR029058	80	318
22	UPI0022DED76E	IPR029058	561	815
23	UPI002455FAD2	IPR029058	532	789
24	UPI0022C418DF	IPR029058	23	302
25	UPI002393C133	IPR029058	54	333
26	UPI0022DFE6C9	IPR029058	7	267
27	UPI0023479F9B	IPR002921	121	214
28	UPI0023479F9B	IPR029058	123	217
29	UPI00236F64F7	IPR029058	39	240
30	UPI0022EA2545	IPR029058	8	275
31	UPI00242CAA4B	IPR029058	4	245
32	UPI00240A1318	IPR029058	28	316
33	UPI0023B469E1	IPR029058	100	406
34	UPI0022FE10FA	IPR029058	25	173
35	UPI0022D2CA48	IPR029058	446	607
36	UPI0022D2CA48	IPR002921	470	607
37	UPI0022EF972A	IPR029058	3	277
38	UPI00242C8664	IPR029058	15	222
39	UPI00234D0144	IPR029058	49	330
40	UPI0023253B29	IPR029058	29	304
41	UPI0024486CD2	IPR029058	4	171
42	UPI0023ED3D79	IPR029058	458	720
43	UPI0022E4BE3D	IPR029058	4	323
44	UPI0023823810	IPR029058	14	257
45	UPI00243C28C1	IPR029058	46	422
46	UPI00235D7DCD	IPR029058	62	270
47	UPI0022EDF923	IPR029058	460	705
48	UPI00245AC632	IPR029058	2	385
49	UPI0024676A41	IPR029058	23	224
50	UPI00240ACD62	IPR029058	79	471
51	UPI002374CD81	IPR029058	19	214
52	UPI00244D9AC4	IPR029058	46	455
53	UPI00247FE280	IPR029058	160	396
54	UPI0022DD83D6	IPR029058	42	319
55	UPI0023A24E5D	IPR029058	513	686
56	UPI0023AEE69A	IPR029058	38	318
57	UPI0023CF5648	IPR029058	56	334
58	UPI002433ABB3	IPR029058	1	346
59	UPI0022F5B51A	IPR029058	59	200
60	UPI00232E8B17	IPR029058	5	282
61	UPI00240EFAEF	IPR029058	51	634
62	UPI00245A1B18	IPR029058	1	241
63	UPI0022E7CC4C	IPR029058	10	309
64	UPI0023B381EB	IPR029058	3	223
65	UPI0022F89137	IPR029058	1	135
66	UPI002318ECD5	IPR029058	471	957
67	UPI0023EE1C80	IPR029058	3	281
68	UPI0024334F63	IPR029058	275	506
69	UPI00242AB73F	IPR029058	45	347
70	UPI0022CCA2AF	IPR029058	21	273
71	UPI00246EE9FA	IPR029058	2	520
72	UPI0023A93069	IPR011118	23	551
73	UPI0023A93069	IPR011118	72	548
74	UPI0023A93069	IPR029058	119	471
75	UPI00238D2394	IPR029058	2	79
76	UPI00240D766C	IPR029058	10	281
77	UPI0023923635	IPR029058	41	274
78	UPI002348C7BF	IPR029058	61	225
79	UPI002348C7BF	IPR002921	98	223
80	UPI002362FCC0	IPR029058	3	252
81	UPI0023F7D578	IPR029058	26	501
82	UPI00241F302E	IPR029058	5	253
83	UPI00246FE023	IPR029058	21	274
84	UPI002349E551	IPR029058	6	130
