	Protein	Domain	Start	Stop
1	UPI0024A277A9	IPR029058	9	253
2	UPI00242008C2	IPR029058	6	347
3	UPI0024627983	IPR029058	5	239
4	UPI002451D87B	IPR029058	536	791
5	UPI002546AC59	IPR029058	50	340
6	UPI0023FDD7D6	IPR029058	363	615
7	UPI002467702A	IPR029058	24	273
8	UPI0023666F27	IPR029058	12	283
9	UPI002547A60F	IPR029058	1	303
10	UPI0024A8C320	IPR029058	73	286
11	UPI0023815D65	IPR029058	65	369
12	UPI0023839587	IPR029058	7	290
13	UPI002454D493	IPR029058	3	255
14	UPI0024171AFE	IPR029058	3	253
15	UPI002448645B	IPR029058	116	222
16	UPI0024DCA952	IPR029058	44	318
17	UPI0023C9F6E6	IPR043595	27	258
18	UPI0023C9F6E6	IPR029058	11	256
19	UPI002401607F	IPR029058	18	353
20	UPI0024B881E5	IPR029058	4	313
21	UPI0024668BFC	IPR029058	118	344
22	UPI00246BF020	IPR029058	14	293
23	UPI0023DAE6A4	IPR029058	30	306
24	UPI0024481E56	IPR029058	11	260
25	UPI00255EC463	IPR029058	12	307
26	UPI0023EE3A70	IPR029058	8	161
27	UPI0023861F56	IPR029058	11	294
28	UPI00237EBFC0	IPR029058	268	440
29	UPI002460D375	IPR029058	23	264
30	UPI00254E1C4A	IPR029058	52	262
31	UPI00256C6DF7	IPR029058	49	246
32	UPI0024850B9D	IPR029058	23	239
33	UPI0024472CE6	IPR029058	58	222
34	UPI0024B2CEC5	IPR029058	40	429
35	UPI002353D14A	IPR029058	46	315
36	UPI0024614522	IPR029058	24	279
37	UPI0024A81C7F	IPR029058	4	246
38	UPI0023562ACA	IPR029058	5	125
39	UPI00243AD846	IPR029058	4	228
40	UPI0024052C99	IPR029058	6	244
41	UPI00246B4226	IPR029058	129	295
42	UPI0023B152AA	IPR029058	25	293
43	UPI002561975A	IPR029058	110	375
44	UPI0024A51A47	IPR029058	47	289
45	UPI0024AFEA0D	IPR029058	56	344
46	UPI0024C35EB2	IPR029058	3	125
47	UPI0024382FCA	IPR029058	90	314
48	UPI002474415F	IPR029058	4	338
49	UPI00239C161A	IPR029058	16	291
50	UPI0023917719	IPR029058	2	489
51	UPI0023E057D6	IPR029058	21	546
52	UPI0023EA74FB	IPR029058	5	359
53	UPI00239C84DC	IPR029058	5	240
54	UPI002405962F	IPR029058	52	352
55	UPI0023951141	IPR029058	7	244
56	UPI002418EB34	IPR002921	25	84
57	UPI002418EB34	IPR029058	22	85
58	UPI0023E17AC1	IPR029058	231	403
59	UPI0024A25B71	IPR029058	14	169
60	UPI0024A25B71	IPR010126	22	138
61	UPI002462858E	IPR029058	12	212
62	UPI002356F460	IPR029058	11	245
63	UPI0023A24B5F	IPR029058	13	61
64	UPI0023CE841E	IPR029058	65	326
65	UPI002408BD65	IPR029058	6	253
66	UPI00248C967F	IPR029058	13	289
67	UPI0023576563	IPR029058	53	293
68	UPI0024712E6B	IPR029058	123	418
69	UPI0024279C4C	IPR029058	430	671
70	UPI00254B5273	IPR029058	8	366
71	UPI002372C1B6	IPR029058	421	676
72	UPI0023F12503	IPR029058	5	234
73	UPI0023728DB6	IPR029058	71	234
74	UPI0024883E77	IPR029058	13	270
75	UPI0025411A09	IPR029058	105	266
76	UPI00249E6949	IPR029058	96	420
77	UPI0024BFB408	IPR029058	13	277
78	UPI002463FE24	IPR029058	51	290
79	UPI00237E9DAE	IPR029058	3	233
80	UPI00255F6AEF	IPR029058	28	459
81	UPI00240D4C05	IPR029058	3	175
82	UPI0024B72ABC	IPR029058	6	264
83	UPI00254514CA	IPR029058	752	823
84	UPI002449F7ED	IPR029058	8	164
85	UPI002491E908	IPR029058	118	431
86	UPI0025514BB4	IPR029058	251	341
87	UPI0024030E05	IPR029058	83	198
88	UPI0024941397	IPR029058	21	274
89	UPI00237EB87E	IPR029058	125	293
90	UPI002482FC80	IPR029058	3	286
91	UPI00235BA568	IPR029058	7	200
92	UPI0024CF45BA	IPR029058	2	97
93	UPI002457AD57	IPR029058	71	374
94	UPI0024B60215	IPR029058	37	308
95	UPI0023A628C3	IPR029058	25	191
96	UPI00256A8F6D	IPR029058	14	366
97	UPI002366B7B1	IPR029058	9	241
98	UPI00253E3876	IPR029058	83	386
99	UPI002491FFA3	IPR029058	1	274
100	UPI0023D65BB2	IPR029058	68	267
101	UPI00254ADDE5	IPR029058	185	430
102	UPI0023B8F6A7	IPR029058	2226	2501
103	UPI0024AA30A3	IPR029058	39	83
104	UPI0023B1CF54	IPR029058	102	426
105	UPI00241B150E	IPR029058	446	702
106	UPI002476AB8F	IPR029058	6	252
107	UPI00234863A6	IPR029058	1	218
108	UPI0023633748	IPR029058	457	715
109	UPI00243FF9D2	IPR029058	4	151
110	UPI0023A9242E	IPR029058	11	243
111	UPI00248051D8	IPR029058	233	520
112	UPI0023961166	IPR029058	1849	2117
113	UPI0024A22E4D	IPR029058	346	595
114	UPI00245873C6	IPR029058	49	332
115	UPI0024A8BF0C	IPR029058	64	334
116	UPI002462FFDB	IPR029058	509	766
117	UPI0024419379	IPR029058	2	171
118	UPI002439C320	IPR029058	57	259
119	UPI0023693A9D	IPR029058	13	252
120	UPI00245399E5	IPR029058	44	291
121	UPI002471D384	IPR029058	4	263
122	UPI002570154F	IPR029058	7	324
123	UPI0024A2B47B	IPR029058	22	261
124	UPI00238FDB8C	IPR029058	504	754
125	UPI00236B38E3	IPR029058	1	262
126	UPI0025667AA4	IPR029058	1	446
127	UPI0024163FEE	IPR029058	1	246
128	UPI00255416FD	IPR029058	5	469
129	UPI00248D547D	IPR029058	6	255
130	UPI00247135D0	IPR029058	9	202
131	UPI0024A8CC75	IPR029058	20	258
132	UPI002394FAEF	IPR029058	74	355
133	UPI00241376C0	IPR029058	537	780
134	UPI0024B148E0	IPR029058	3	232
135	UPI00240EB23C	IPR029058	37	333
136	UPI0023CAF3D6	IPR029058	70	314
137	UPI0025614B02	IPR029058	379	551
138	UPI002437796F	IPR029058	9	287
139	UPI00245FA26C	IPR029058	111	218
140	UPI00249B12EE	IPR029058	28	266
141	UPI00238F060E	IPR029058	2	385
142	UPI00249A4092	IPR029058	17	311
143	UPI0024A42E34	IPR029058	54	267
144	UPI002462EDCE	IPR029058	3	235
145	UPI0023B6460E	IPR029058	28	267
146	UPI00234B9385	IPR002921	76	136
147	UPI00234B9385	IPR029058	2	168
148	UPI0023E3D13F	IPR029058	4	180
149	UPI002477A4DB	IPR029058	52	361
150	UPI0024B94613	IPR029058	54	174
151	UPI0023A42BE6	IPR029058	10	278
152	UPI00237DD4F7	IPR029058	420	648
153	UPI0023D93770	IPR029058	47	453
154	UPI0024B14FEA	IPR029058	1194	1455
155	UPI0023F7D539	IPR029058	17	269
156	UPI0024C3E05B	IPR029058	45	279
157	UPI002476BA7B	IPR029058	15	260
158	UPI002434E7C6	IPR029058	2407	2776
159	UPI0024CE3C36	IPR029058	128	275
160	UPI002449E129	IPR029058	5	267
161	UPI00246AD762	IPR029058	2	249
162	UPI00249D8868	IPR029058	33	322
163	UPI00246F73DC	IPR029058	1	238
164	UPI002461D188	IPR029058	135	497
165	UPI00254A9049	IPR029058	160	415
166	UPI002543F397	IPR029058	3	224
167	UPI0024343998	IPR029058	6	252
168	UPI00249F4C3F	IPR029058	14	295
169	UPI0023B8DA19	IPR029058	44	189
170	UPI002441A268	IPR029058	3	288
171	UPI00256C8F2E	IPR029058	395	654
172	UPI002398AA89	IPR029058	246	514
173	UPI0024BFC179	IPR029058	2	57
174	UPI00242B34F2	IPR029058	4	288
175	UPI0023CB222F	IPR029058	125	426
176	UPI0024A60D21	IPR029058	336	576
177	UPI00245A10EA	IPR029058	25	374
178	UPI0025669C47	IPR029058	3	263
179	UPI00247F77FE	IPR029058	2	520
180	UPI002449E626	IPR029058	414	655
