	Protein	Domain	Start	Stop
1	UPI0025562A3C	IPR029058	2	259
2	UPI002491AFE0	IPR029058	241	359
3	UPI00229E154D	IPR029058	24	242
4	UPI0023337FE9	IPR029058	60	266
5	UPI0022886072	IPR029058	13	242
6	UPI00249C8721	IPR029058	5	269
7	UPI0022AFEE8B	IPR029058	84	294
8	UPI0024C60BAB	IPR029058	2	220
9	UPI0022C491AB	IPR029058	78	212
10	UPI00224C655F	IPR029058	29	381
11	UPI0024E0CE24	IPR029058	26	297
12	UPI0022F1C8AC	IPR029058	21	243
13	UPI0022A8D676	IPR029058	15	306
14	UPI00224E5C06	IPR029058	543	801
15	UPI00255E4FC6	IPR029058	49	222
16	UPI0024DE6332	IPR029058	49	280
17	UPI0023356DB8	IPR029058	521	771
18	UPI00227A8C1B	IPR029058	40	245
19	UPI00231CB60C	IPR029058	3	239
20	UPI0022153F40	IPR029058	121	632
21	UPI00227E7C3E	IPR029058	3	272
22	UPI002316B378	IPR029058	70	292
23	UPI0024CFBFD7	IPR029058	41	311
24	UPI00232B7520	IPR029058	28	242
25	UPI0024A5D28A	IPR029058	362	609
26	UPI0024B12446	IPR029058	580	865
27	UPI002258C5B8	IPR029058	337	557
28	UPI0024DDF3E3	IPR029058	216	489
29	UPI00226D14B7	IPR029058	44	311
30	UPI00254A0910	IPR029058	79	416
31	UPI002214D344	IPR029058	603	1065
32	UPI00228D0105	IPR029058	6	235
33	UPI00255D8357	IPR029058	57	211
34	UPI002320C1D7	IPR029058	9	231
35	UPI00224C37EC	IPR029058	143	656
36	UPI0023400765	IPR029058	106	279
37	UPI00226D0CB7	IPR029058	5	346
38	UPI0022238928	IPR029058	4	189
39	UPI002491E1FE	IPR029058	470	721
40	UPI0022AD9DB0	IPR029058	3	259
41	UPI00233CBBB9	IPR029058	15	254
42	UPI002574A1ED	IPR029058	2	226
43	UPI00225C5049	IPR029058	102	244
44	UPI00256F23B0	IPR029058	2	234
45	UPI0022AED66C	IPR029058	1	267
46	UPI00226148FA	IPR029058	168	541
47	UPI00249A53E2	IPR029058	5	173
48	UPI0023018C85	IPR029058	15	316
49	UPI0023018C85	IPR010126	222	314
50	UPI0022E750C6	IPR029058	366	622
51	UPI0024C26D32	IPR029058	6	235
52	UPI0022D384C0	IPR029058	59	189
53	UPI0022D384C0	IPR029058	88	346
54	UPI002230685A	IPR029058	4	331
55	UPI0024A7C2A2	IPR029058	76	269
56	UPI00249226C9	IPR029058	55	359
57	UPI002246E241	IPR029058	23	201
58	UPI002255FFF5	IPR029058	44	301
59	UPI0022B70D7E	IPR029058	43	447
60	UPI00222EF01F	IPR029058	2	252
61	UPI00230D1A99	IPR029058	1	210
62	UPI0024BF5DC2	IPR029058	55	363
63	UPI002313A944	IPR029058	57	319
64	UPI002284167F	IPR029058	3	255
65	UPI0023325BFC	IPR029058	2	378
66	UPI0024C0040B	IPR029058	67	311
67	UPI00223570F5	IPR029058	79	177
68	UPI0022D57C5C	IPR029058	180	577
69	UPI002211EE1F	IPR029058	17	348
70	UPI0024ACCFD8	IPR029058	3	100
71	UPI002542E708	IPR029058	12	300
72	UPI0023106FAF	IPR029058	19	321
73	UPI0022445F41	IPR029058	9	269
74	UPI0023368262	IPR029058	253	444
75	UPI00230634AE	IPR029058	68	351
76	UPI0023075903	IPR029058	68	294
77	UPI00231A03F3	IPR029058	74	511
78	UPI002555280E	IPR029058	241	364
79	UPI0022EA26BD	IPR029058	21	325
80	UPI0024A9E834	IPR029058	33	283
81	UPI00256DB1F8	IPR029058	45	325
82	UPI0022DA2518	IPR002921	57	192
83	UPI0022DA2518	IPR029058	3	239
84	UPI00228136CB	IPR029058	1060	1272
85	UPI00224D0E01	IPR029058	144	370
86	UPI0022839494	IPR029058	6	225
87	UPI0022393DAE	IPR029058	22	232
88	UPI002324345A	IPR029058	6	258
89	UPI00254D473A	IPR029058	443	699
90	UPI002280BDBD	IPR029058	2111	2370
91	UPI002240F7D8	IPR029058	9	246
92	UPI0022AFA8C9	IPR029058	4	256
93	UPI002224D741	IPR029058	5	235
94	UPI0024C1A0C2	IPR029058	40	295
95	UPI0024BBF8F4	IPR029058	7	265
96	UPI002269A8A7	IPR029058	455	699
97	UPI002231BE17	IPR029058	120	314
98	UPI002498B261	IPR029058	2	294
99	UPI0022E3ED5E	IPR029058	8	276
100	UPI00249F3BFF	IPR029058	37	424
101	UPI0025634E76	IPR029058	102	502
102	UPI00227140A7	IPR029058	45	359
103	UPI002567151A	IPR029058	235	459
104	UPI00232FE6D3	IPR029058	24	257
105	UPI0022B21498	IPR029058	67	264
106	UPI0024B8F1A5	IPR029058	23	279
107	UPI00228B69F0	IPR029058	5	262
108	UPI0024A8011F	IPR029058	8	379
109	UPI002304D7DD	IPR029058	83	238
110	UPI002304D7DD	IPR011118	24	400
111	UPI002304D7DD	IPR011118	78	399
112	UPI0024A93D92	IPR029058	1	325
113	UPI00230FFCCD	IPR029058	27	303
114	UPI0023342807	IPR029058	14	279
115	UPI002319BDBD	IPR029058	30	241
116	UPI0022506B81	IPR029058	9	291
117	UPI0024E0E173	IPR029058	60	356
118	UPI00254C883B	IPR029058	6	200
119	UPI00230D0606	IPR029058	3	213
120	UPI00224B2FA5	IPR029058	32	329
121	UPI00231DA266	IPR029058	19	382
122	UPI00224911CA	IPR029058	46	300
123	UPI0022CC8970	IPR029058	40	483
124	UPI0022C801C9	IPR029058	31	179
125	UPI0024E18CC8	IPR029058	80	274
126	UPI0022F1FECD	IPR029058	12	285
127	UPI002302363D	IPR029058	1	191
128	UPI0022EEF502	IPR029058	15	298
129	UPI0022495988	IPR029058	54	298
130	UPI002498D57E	IPR029058	2899	3184
131	UPI0022BEC4BC	IPR029058	2	236
132	UPI00229250FA	IPR029058	4	259
133	UPI002292325B	IPR029058	387	642
134	UPI0024D50E0D	IPR029058	129	410
135	UPI00224C9D52	IPR029058	243	338
136	UPI0024BD5A75	IPR029058	17	253
137	UPI002288B867	IPR029058	17	224
138	UPI0022AD7191	IPR029058	279	404
139	UPI0022A341FF	IPR029058	29	270
140	UPI0022A1D2CE	IPR029058	5	241
141	UPI0024B46505	IPR029058	300	590
142	UPI0024B751F9	IPR029058	11	280
143	UPI0022E28570	IPR029058	86	380
144	UPI0024BF8C13	IPR029058	49	349
145	UPI0022BE18DE	IPR029058	3	298
146	UPI00231AC51D	IPR029058	5	120
147	UPI00231F9D34	IPR029058	12	293
148	UPI00254A4D21	IPR029058	95	373
149	UPI00248DEDCC	IPR029058	17	300
150	UPI002574BECC	IPR029058	45	278
151	UPI00248C2780	IPR029058	4	275
152	UPI0022C148E5	IPR029058	11	260
153	UPI00255098FC	IPR029058	46	435
154	UPI002302D10D	IPR029058	128	294
155	UPI00253BAC57	IPR029058	119	427
156	UPI00255F600E	IPR029058	296	643
157	UPI00254155E4	IPR029058	587	825
158	UPI00224AA652	IPR029058	1	260
159	UPI00232EA26A	IPR029058	163	495
160	UPI00223BFF04	IPR043595	138	380
161	UPI00223BFF04	IPR029058	133	376
162	UPI00223BFF04	IPR010126	152	279
163	UPI0022854FD9	IPR029058	38	263
164	UPI00231FE43F	IPR029058	647	786
165	UPI002553E749	IPR029058	33	300
166	UPI0022DC0407	IPR029058	54	470
167	UPI0023439236	IPR029058	13	346
168	UPI00226A519A	IPR029058	5	285
169	UPI00224AFD78	IPR029058	442	692
170	UPI00227ECB74	IPR029058	5	230
171	UPI00248EB8CD	IPR029058	4	213
172	UPI0022EB35C4	IPR029058	5	268
173	UPI0025516FD5	IPR029058	554	811
174	UPI0024BDCBAE	IPR029058	20	298
175	UPI0025579AE8	IPR029058	1	235
176	UPI0024BCE47D	IPR029058	33	249
177	UPI00227DC2FC	IPR029058	8	280
178	UPI0025780A13	IPR011118	118	615
179	UPI0025780A13	IPR011118	123	614
180	UPI0025780A13	IPR029058	196	544
181	UPI002547E764	IPR029058	7	232
182	UPI00249D7257	IPR029058	12	236
183	UPI0022A7F0DB	IPR029058	292	521
184	UPI0022A7F0DB	IPR002921	371	504
185	UPI0022A693CB	IPR029058	2	226
186	UPI00249A1172	IPR029058	3	220
187	UPI00254D31F4	IPR029058	46	309
188	UPI00228DDC77	IPR029058	17	63
189	UPI00221F6FC4	IPR029058	6	261
190	UPI002541D53F	IPR011118	73	543
191	UPI002541D53F	IPR029058	82	497
192	UPI002541D53F	IPR011118	13	549
193	UPI00231A6FD7	IPR029058	66	357
194	UPI00229908F9	IPR029058	65	313
195	UPI0024A72AB6	IPR029058	1051	1291
196	UPI002302FEBC	IPR029058	50	347
197	UPI0024C7D1A9	IPR029058	361	590
198	UPI0024B4724E	IPR029058	96	643
199	UPI0024DEDD17	IPR029058	48	298
200	UPI002546DD27	IPR029058	46	340
201	UPI0022F8B4BF	IPR002921	326	445
202	UPI0022F8B4BF	IPR029058	295	447
203	UPI0025652213	IPR029058	34	319
204	UPI0025480E16	IPR029058	40	358
205	UPI002499E3BC	IPR029058	4	250
206	UPI0022E4E5CA	IPR029058	18	250
207	UPI00249F68E7	IPR029058	29	283
208	UPI0022D75F8A	IPR029058	5	290
209	UPI0022230A10	IPR029058	6	212
210	UPI0025542270	IPR029058	57	175
211	UPI0022D79892	IPR029058	204	263
212	UPI002342A242	IPR029058	107	504
213	UPI002342A242	IPR011118	84	554
214	UPI002342A242	IPR011118	20	555
215	UPI0022AADB2C	IPR029058	109	313
216	UPI002550F38F	IPR029058	4	280
217	UPI0022A64371	IPR029058	1	230
218	UPI00229F0D8A	IPR029058	19	265
219	UPI0022EFCB17	IPR029058	81	154
220	UPI0022EF0DAE	IPR029058	4	294
221	UPI0022E32BC0	IPR029058	354	721
222	UPI002263D9FA	IPR029058	3	274
223	UPI0022245B64	IPR029058	4	223
224	UPI0025637F25	IPR029058	44	287
225	UPI00230D3105	IPR029058	17	215
226	UPI002218E35C	IPR002921	243	286
227	UPI00231B08E0	IPR029058	63	386
228	UPI0023098320	IPR029058	452	617
229	UPI00224D755B	IPR029058	10	266
230	UPI002569C251	IPR029058	59	340
231	UPI0022C3F906	IPR029058	248	505
232	UPI00223E80D3	IPR029058	391	662
233	UPI002217E9FD	IPR029058	26	333
234	UPI00256F1406	IPR029058	4	131
235	UPI0022585FAF	IPR029058	2322	2691
236	UPI00225E94FA	IPR029058	2	230
237	UPI002265E8DD	IPR029058	45	316
238	UPI00233E0D45	IPR029058	470	718
239	UPI00230877DE	IPR029058	40	263
240	UPI0024E054FD	IPR029058	6	285
241	UPI00254E1CD5	IPR029058	3	231
242	UPI0022442E3A	IPR029058	8	274
243	UPI00230338C4	IPR029058	4	242
244	UPI002319A596	IPR029058	200	449
245	UPI0023454B7E	IPR029058	35	353
