	Protein	Domain	Start	Stop
1	UPI00244EEBF4	IPR002018	32	540
2	UPI0025703B20	IPR002018	328	429
3	UPI0025703B20	IPR002018	4	322
4	UPI00244E79DE	IPR002018	14	473
5	UPI00254F1896	IPR002018	16	504
6	UPI002435F506	IPR002018	53	607
7	UPI002418347B	IPR013736	530	752
8	UPI002418347B	IPR000383	186	500
9	UPI0024334B94	IPR002018	52	626
10	UPI0023E2E2C3	IPR000383	74	210
11	UPI00247363E3	IPR002018	37	524
12	UPI00241A630C	IPR002018	2	161
13	UPI00247A9219	IPR002018	25	536
14	UPI00241F2CC2	IPR000383	35	177
15	UPI002477B421	IPR002018	386	490
16	UPI002477B421	IPR002018	37	381
17	UPI0024A8AFBA	IPR000383	66	361
18	UPI0024A8AFBA	IPR013736	382	590
19	UPI0024BE93F4	IPR002018	1864	2362
20	UPI002541DA17	IPR013736	325	537
21	UPI002541DA17	IPR005674	38	544
22	UPI002541DA17	IPR000383	41	299
23	UPI002421BAEA	IPR002018	25	554
24	UPI002574914E	IPR002018	66	186
25	UPI0025525AA1	IPR000383	93	305
26	UPI0025525AA1	IPR013736	441	545
27	UPI0024B039FC	IPR002018	114	636
28	UPI0025469F45	IPR002018	16	230
29	UPI0024B953D7	IPR002018	1	282
30	UPI0024589D4F	IPR000383	67	381
31	UPI0024589D4F	IPR005674	64	642
32	UPI0024589D4F	IPR013736	413	670
33	UPI0024C4FC2F	IPR002018	39	520
34	UPI00249500EC	IPR002018	20	517
35	UPI00240CBE46	IPR002018	1	438
36	UPI0023FB484A	IPR002018	83	580
37	UPI0023FB484A	IPR002018	24	74
38	UPI00253F0318	IPR002018	92	205
39	UPI00254BFCAB	IPR013736	358	593
40	UPI00254BFCAB	IPR000383	66	319
41	UPI00254BFCAB	IPR005674	62	597
42	UPI00247547A8	IPR002018	32	351
43	UPI0025477AC1	IPR002018	19	512
44	UPI00247F5220	IPR002018	10	234
45	UPI0023EB691D	IPR013736	358	601
46	UPI0023EB691D	IPR000383	61	331
47	UPI0025424A70	IPR002018	23	346
48	UPI0025424A70	IPR002018	350	456
49	UPI0024C05820	IPR000383	109	397
50	UPI002456A070	IPR005674	73	649
51	UPI002456A070	IPR013736	423	677
52	UPI002456A070	IPR000383	76	392
53	UPI00254EB878	IPR002018	25	339
54	UPI00254EB878	IPR002018	344	456
55	UPI002472A635	IPR002018	18	530
56	UPI0024AEDF15	IPR002018	27	550
57	UPI0025680EAF	IPR000383	71	236
58	UPI0025680EAF	IPR005674	68	233
59	UPI0025680EAF	IPR013736	347	592
60	UPI0024CF5339	IPR002018	19	511
61	UPI0023FB7747	IPR002018	8	480
62	UPI0024B6A6D6	IPR002018	29	501
63	UPI0024D0B634	IPR002018	175	664
64	UPI00245C0595	IPR002018	48	79
65	UPI0025416539	IPR013736	448	643
66	UPI0025416539	IPR005674	168	341
67	UPI0025416539	IPR000383	174	332
68	UPI0024278BEA	IPR002018	10	277
69	UPI0024882ADD	IPR000383	17	281
70	UPI0024714367	IPR000383	50	185
71	UPI0024714367	IPR005674	46	184
72	UPI00254C3C19	IPR005674	37	521
73	UPI00254C3C19	IPR013736	327	539
74	UPI00254C3C19	IPR000383	40	296
75	UPI0023E2881C	IPR002018	24	547
76	UPI0025687F0F	IPR002018	164	437
77	UPI0025687F0F	IPR002018	28	91
78	UPI0025687F0F	IPR002018	94	152
79	UPI002457E587	IPR013736	361	585
80	UPI002457E587	IPR000383	81	321
81	UPI00249AEAD4	IPR005674	28	599
82	UPI00249AEAD4	IPR000383	31	314
83	UPI00249AEAD4	IPR013736	362	593
84	UPI0024C4F0DA	IPR002018	28	353
85	UPI0024C4F0DA	IPR002018	377	488
86	UPI002409B6B3	IPR002018	518	771
87	UPI002409B6B3	IPR002018	106	422
88	UPI002549A460	IPR013736	356	466
89	UPI002549A460	IPR000383	4	199
90	UPI00245D770F	IPR000383	53	300
91	UPI00245D770F	IPR013736	358	482
92	UPI00245D770F	IPR005674	51	206
93	UPI00241BC9A6	IPR002018	28	221
