	Protein	Domain	Start	Stop
1	UPI00247DA4E0	IPR000209	308	617
2	UPI00247DA4E0	IPR036852	306	655
3	UPI00245AA761	IPR036852	154	547
4	UPI00245AA761	IPR000209	165	537
5	UPI0024CB73E4	IPR036852	13	75
6	UPI00256ED6E2	IPR000209	174	500
7	UPI00256ED6E2	IPR036852	154	508
8	UPI002483060A	IPR000209	130	315
9	UPI002483060A	IPR000209	432	496
10	UPI002483060A	IPR036852	111	507
11	UPI00247BD55C	IPR036852	110	622
12	UPI00247BD55C	IPR000209	134	608
13	UPI00247BD55C	IPR010259	31	105
14	UPI0024D8EFE1	IPR010259	45	120
15	UPI0024D8EFE1	IPR000209	145	605
16	UPI0024D8EFE1	IPR036852	119	627
17	UPI0024D4A1E8	IPR000209	96	458
18	UPI0024D4A1E8	IPR010259	14	74
19	UPI0024D4A1E8	IPR036852	73	445
20	UPI0024517D9E	IPR036852	82	424
21	UPI0024517D9E	IPR000209	162	380
22	UPI0024548861	IPR000209	84	379
23	UPI0024548861	IPR036852	67	389
24	UPI002468FF58	IPR036852	213	630
25	UPI00247821D6	IPR000209	204	635
26	UPI00247821D6	IPR036852	201	644
27	UPI00248C8D70	IPR036852	199	515
28	UPI00248C8D70	IPR000209	212	473
29	UPI0024DEB7E0	IPR036852	152	629
30	UPI0024DEB7E0	IPR000209	167	595
31	UPI0024A602AF	IPR036852	32	144
32	UPI0024D378A1	IPR036852	73	556
33	UPI0024D378A1	IPR010259	12	74
34	UPI0024D378A1	IPR000209	95	543
35	UPI00245F2388	IPR036852	122	455
36	UPI00245F2388	IPR000209	142	438
37	UPI00244CEB87	IPR000209	197	484
38	UPI00244CEB87	IPR036852	96	494
39	UPI0025702495	IPR000209	285	511
40	UPI0025702495	IPR036852	247	518
41	UPI002544DBA6	IPR000209	112	375
42	UPI002544DBA6	IPR036852	95	403
43	UPI00254B7DD3	IPR000209	184	671
44	UPI00254B7DD3	IPR036852	179	680
45	UPI00246CAA35	IPR000209	148	407
46	UPI00246CAA35	IPR036852	133	430
47	UPI00254B88C7	IPR000209	119	388
48	UPI00254B88C7	IPR036852	101	397
49	UPI0024854B7A	IPR000209	314	570
50	UPI0024854B7A	IPR036852	119	624
51	UPI0024590D64	IPR036852	6	218
52	UPI00244ECFE4	IPR000209	383	506
53	UPI00244ECFE4	IPR036852	31	558
54	UPI00256C7365	IPR010259	458	514
55	UPI00256C7365	IPR036852	452	571
56	UPI0024DCAD8D	IPR000209	129	572
57	UPI0024DCAD8D	IPR010259	30	92
58	UPI0024DCAD8D	IPR036852	105	578
59	UPI00248D0DBA	IPR036852	138	365
60	UPI00248D0DBA	IPR000209	139	358
61	UPI002554FE34	IPR000209	176	539
62	UPI002554FE34	IPR036852	156	579
63	UPI002459479B	IPR000209	188	496
64	UPI002459479B	IPR036852	104	499
65	UPI00256891A2	IPR036852	99	460
66	UPI00256891A2	IPR000209	178	447
67	UPI00256A293B	IPR000209	182	427
68	UPI00256A293B	IPR010259	42	136
69	UPI00256A293B	IPR036852	38	438
70	UPI00256FE7B4	IPR000209	217	457
71	UPI00256FE7B4	IPR036852	217	465
72	UPI00249C9BAA	IPR036852	350	673
73	UPI00249C1D44	IPR000209	154	378
74	UPI00249C1D44	IPR036852	121	385
75	UPI0025793F51	IPR036852	63	341
76	UPI0025793F51	IPR000209	63	322
77	UPI0024A85882	IPR036852	105	396
78	UPI0024A85882	IPR000209	132	383
79	UPI0024DE22EB	IPR036852	166	504
80	UPI0024DE22EB	IPR000209	183	477
81	UPI00255407EC	IPR036852	184	432
82	UPI00255407EC	IPR000209	196	421
83	UPI0024CB2E20	IPR010259	37	113
84	UPI0024CB2E20	IPR036852	140	606
85	UPI0024CB2E20	IPR000209	143	600
86	UPI0024A8903A	IPR000209	179	585
87	UPI0024A8903A	IPR010259	56	141
88	UPI0024A8903A	IPR036852	74	598
89	UPI0024A2607F	IPR036852	143	465
90	UPI0024A2607F	IPR000209	159	434
91	UPI0025487520	IPR036852	209	715
92	UPI0025487520	IPR000209	220	704
93	UPI0024DA4C43	IPR010259	32	110
94	UPI0024DA4C43	IPR000209	133	242
95	UPI0024DA4C43	IPR036852	24	233
96	UPI00255B8A09	IPR000209	300	644
97	UPI00255B8A09	IPR036852	198	654
98	UPI0024A175A3	IPR000209	55	333
99	UPI0024A175A3	IPR036852	37	344
100	UPI00256FAFC5	IPR000209	2	165
101	UPI00256FAFC5	IPR036852	2	164
102	UPI002491229B	IPR036852	197	536
103	UPI002491229B	IPR000209	209	514
104	UPI00256CA304	IPR010259	38	155
105	UPI00256CA304	IPR000209	186	637
106	UPI00256CA304	IPR036852	93	698
107	UPI0024C67CB9	IPR010259	39	118
108	UPI0024C67CB9	IPR036852	122	600
109	UPI0024C67CB9	IPR000209	140	578
110	UPI00247EE506	IPR000209	177	405
111	UPI00247EE506	IPR010259	93	144
112	UPI00247EE506	IPR036852	164	418
113	UPI00256F79F5	IPR000209	150	399
114	UPI00256F79F5	IPR010259	26	99
115	UPI00256F79F5	IPR036852	6	398
116	UPI002496DC45	IPR000209	5	82
117	UPI002496DC45	IPR036852	2	215
118	UPI0024976BF0	IPR000209	144	427
119	UPI0024976BF0	IPR036852	109	441
120	UPI0024A09286	IPR010259	71	109
121	UPI00249C07FA	IPR036852	50	333
122	UPI00249C07FA	IPR000209	69	324
123	UPI002560C9DD	IPR036852	35	306
124	UPI002560C9DD	IPR000209	148	276
125	UPI002546AF56	IPR000209	338	512
126	UPI002546AF56	IPR036852	197	596
127	UPI00256BCDFA	IPR000209	216	532
128	UPI00256BCDFA	IPR036852	156	547
129	UPI002448BBF1	IPR036852	7	76
130	UPI0025516160	IPR036852	62	334
131	UPI0025516160	IPR000209	79	326
132	UPI0024BA68A5	IPR000209	158	421
133	UPI0024BA68A5	IPR036852	109	436
134	UPI00245D7B94	IPR000209	1205	1459
135	UPI00245D7B94	IPR036852	1181	1458
136	UPI00249B0FDB	IPR000209	156	508
137	UPI00249B0FDB	IPR036852	138	553
138	UPI0024B1DAE0	IPR036852	206	492
139	UPI0024B1DAE0	IPR000209	227	478
140	UPI00249D0945	IPR010259	26	128
141	UPI00244F17EA	IPR000209	2	251
142	UPI00244F17EA	IPR036852	2	299
143	UPI0024C07900	IPR036852	23	287
144	UPI0024C07900	IPR000209	40	270
145	UPI00256532EC	IPR036852	1	112
146	UPI00248CA72C	IPR036852	169	483
147	UPI00248CA72C	IPR000209	191	456
148	UPI00256FC1F4	IPR000209	259	594
149	UPI00256FC1F4	IPR036852	195	611
150	UPI00249EA7ED	IPR036852	46	365
151	UPI00249EA7ED	IPR000209	66	355
152	UPI0025563781	IPR036852	125	466
153	UPI0025563781	IPR000209	175	433
154	UPI002555A1CF	IPR000209	215	496
155	UPI002555A1CF	IPR036852	184	534
156	UPI00255599A4	IPR000209	94	396
157	UPI00255599A4	IPR036852	77	406
158	UPI0024A9F67F	IPR000209	154	422
159	UPI0024A9F67F	IPR036852	134	455
160	UPI00249CC117	IPR036852	60	374
161	UPI00249CC117	IPR000209	78	362
162	UPI00255354EF	IPR000209	181	405
163	UPI00255354EF	IPR036852	154	409
164	UPI00247CCC05	IPR000209	149	695
165	UPI00247CCC05	IPR036852	138	713
166	UPI00256C5943	IPR010259	2224	2269
167	UPI00256C5943	IPR010259	1035	1076
168	UPI00256C5943	IPR000209	1106	1477
169	UPI00256C5943	IPR036852	2240	2725
170	UPI00256C5943	IPR036852	1044	1564
171	UPI00256C5943	IPR000209	2302	2664
172	UPI0025685BE9	IPR010259	31	104
173	UPI0025685BE9	IPR000209	133	586
174	UPI0025685BE9	IPR036852	109	619
175	UPI0025492507	IPR036852	64	396
176	UPI0025492507	IPR000209	82	386
177	UPI00255B67F6	IPR010259	57	142
178	UPI00255B67F6	IPR036852	160	594
