	Protein	Domain	Start	Stop
1	UPI0023FCD844	IPR002018	76	442
2	UPI0023253B29	IPR000383	29	257
3	UPI00240ACD62	IPR005674	81	503
4	UPI00240ACD62	IPR000383	85	409
5	UPI002433ABB3	IPR000383	3	282
6	UPI002433ABB3	IPR013736	328	561
7	UPI002433ABB3	IPR005674	1	562
8	UPI00240EFAEF	IPR002018	52	626
9	UPI00242AB73F	IPR000383	57	255
10	UPI00246EE9FA	IPR002018	2	516
11	UPI00238D2394	IPR002018	2	73
12	UPI0023F7D578	IPR002018	25	344
13	UPI0023F7D578	IPR002018	371	497
14	UPI0022E03269	IPR002018	39	542
15	UPI0023A46BB8	IPR002018	42	364
16	UPI00239C126D	IPR002018	78	423
17	UPI00239D2938	IPR002018	56	546
18	UPI00240CB086	IPR002018	14	476
19	UPI00239E2AB1	IPR000383	17	283
20	UPI00239E2AB1	IPR005674	13	584
21	UPI00239E2AB1	IPR013736	322	578
22	UPI0024288252	IPR002018	33	125
23	UPI0023B5319B	IPR005674	41	628
24	UPI0023B5319B	IPR013736	390	624
25	UPI0023B5319B	IPR000383	44	342
26	UPI0023F590B0	IPR002018	67	170
27	UPI002453C7B2	IPR000383	39	302
28	UPI002453C7B2	IPR013736	329	551
29	UPI002453C7B2	IPR005674	36	555
30	UPI00244EFC69	IPR002018	33	546
31	UPI00240F7D0E	IPR013736	469	687
32	UPI00240F7D0E	IPR000383	71	428
33	UPI00240F7D0E	IPR005674	369	692
34	UPI00240F7D0E	IPR005674	67	261
35	UPI0023DBE59A	IPR000383	96	372
36	UPI0023DBE59A	IPR005674	93	452
37	UPI002350F6BB	IPR002018	33	593
38	UPI0022C954B3	IPR013736	337	583
39	UPI0022C954B3	IPR005674	59	224
40	UPI0022C954B3	IPR000383	61	230
41	UPI00240FA7EA	IPR002018	25	462
42	UPI0022FDB542	IPR002018	48	514
43	UPI00239233F6	IPR000383	26	298
44	UPI00239233F6	IPR013736	336	599
45	UPI00239233F6	IPR005674	23	605
46	UPI0023E007A7	IPR000383	1	160
47	UPI0023EE406E	IPR002018	2	131
48	UPI002381AAA5	IPR000383	82	223
49	UPI002483A463	IPR002018	2	361
50	UPI00230A5DBC	IPR000383	23	274
51	UPI00230A5DBC	IPR013736	304	521
52	UPI00230A5DBC	IPR005674	21	510
53	UPI00230B90FD	IPR002018	3	477
54	UPI0023ABEE36	IPR002018	22	483
55	UPI002437160D	IPR002018	45	475
56	UPI0023B7F0A7	IPR000383	81	356
57	UPI0023B7F0A7	IPR005674	78	643
58	UPI0023B7F0A7	IPR013736	403	637
59	UPI0023DA2FED	IPR002018	38	521
60	UPI00231478F7	IPR002018	27	482
61	UPI0024042B87	IPR002018	25	545
62	UPI00235AE0A4	IPR002018	52	606
63	UPI00231FFC4F	IPR002018	4	242
64	UPI00237C736F	IPR002018	78	271
65	UPI00240B95BC	IPR002018	1	108
66	UPI0023FEFE8A	IPR002018	51	613
67	UPI00245763FA	IPR000383	68	383
68	UPI00245763FA	IPR013736	414	675
69	UPI00245763FA	IPR005674	65	647
70	UPI0023110565	IPR002018	87	506
71	UPI0023110565	IPR002018	30	72
72	UPI0023AA49C7	IPR002018	26	491
73	UPI002360AE6F	IPR005674	68	584
74	UPI002360AE6F	IPR000383	68	334
75	UPI002360AE6F	IPR013736	361	603
76	UPI0022F9336F	IPR002018	2	124
77	UPI002410E7E2	IPR002018	1863	2364
78	UPI002429184C	IPR013736	1	120
79	UPI002429184C	IPR005674	1	125
80	UPI0023E12486	IPR002018	29	317
81	UPI0023091DAC	IPR002018	44	521
82	UPI0023F4E138	IPR002018	11	410
83	UPI0023908245	IPR002018	71	595
84	UPI00232974A8	IPR002018	2180	2701
85	UPI0023A3693F	IPR002018	28	543
86	UPI00247C7628	IPR005674	63	405
87	UPI00247C7628	IPR013736	364	540
88	UPI00247C7628	IPR000383	67	330
89	UPI0023955D51	IPR002018	73	446
90	UPI00231D8327	IPR002018	313	447
91	UPI00231D8327	IPR002018	3	279
92	UPI0023E1A8AD	IPR005674	75	254
93	UPI0023E1A8AD	IPR000383	70	343
94	UPI0023E1A8AD	IPR013736	370	611
95	UPI00240B5405	IPR002018	21	533
96	UPI00241FBDF7	IPR013736	529	751
97	UPI00241FBDF7	IPR000383	182	500
98	UPI0023764F3A	IPR002018	31	573
