	Protein	Domain	Start	Stop
1	UPI00235BBFD1	IPR036852	226	636
2	UPI00241BEDB4	IPR000209	191	403
3	UPI00241BEDB4	IPR010259	93	164
4	UPI00241BEDB4	IPR036852	99	433
5	UPI00243CBAB6	IPR036852	158	388
6	UPI00243CBAB6	IPR000209	176	374
7	UPI0022D861DC	IPR000209	129	536
8	UPI0022D861DC	IPR036852	114	557
9	UPI0022ECF206	IPR000209	204	481
10	UPI0022ECF206	IPR036852	171	495
11	UPI0022C9809D	IPR036852	243	547
12	UPI0022C9809D	IPR000209	262	524
13	UPI0023D5D1FE	IPR036852	252	546
14	UPI0023D5D1FE	IPR000209	271	539
15	UPI0022FE1198	IPR000209	200	478
16	UPI0022FE1198	IPR036852	166	491
17	UPI0023F6EBBA	IPR000209	242	493
18	UPI0023F6EBBA	IPR000209	82	137
19	UPI0023F6EBBA	IPR036852	62	497
20	UPI00232900C3	IPR010259	38	107
21	UPI0023D1DE43	IPR036852	31	337
22	UPI0023D1DE43	IPR000209	64	329
23	UPI00241E2E80	IPR000209	222	539
24	UPI00241E2E80	IPR036852	206	590
25	UPI00234D86F2	IPR000209	73	275
26	UPI00234D86F2	IPR036852	41	300
27	UPI002402E4CE	IPR036852	50	531
28	UPI002402E4CE	IPR000209	275	514
29	UPI002402E4CE	IPR000209	64	119
30	UPI002457C776	IPR036852	77	394
31	UPI002457C776	IPR000209	86	384
32	UPI002451F09A	IPR036852	8	397
33	UPI002451F09A	IPR000209	146	380
34	UPI0023FC79F3	IPR000209	357	433
35	UPI0023FC79F3	IPR000209	175	326
36	UPI0023FC79F3	IPR036852	137	445
37	UPI0022E457BC	IPR000209	41	253
38	UPI0022E457BC	IPR036852	24	253
39	UPI002414961E	IPR000209	71	342
40	UPI002414961E	IPR036852	72	345
41	UPI0022D3CC19	IPR036852	34	518
42	UPI0022D3CC19	IPR000209	41	502
43	UPI0022BCBF7F	IPR036852	112	406
44	UPI0022BCBF7F	IPR000209	131	397
45	UPI0024782338	IPR000209	63	293
46	UPI0024782338	IPR036852	60	293
47	UPI0024019B69	IPR036852	11	301
48	UPI0024019B69	IPR000209	53	297
49	UPI0023E82817	IPR000209	123	353
50	UPI0023E82817	IPR036852	101	375
51	UPI0022E0CB07	IPR000209	266	532
52	UPI0022E0CB07	IPR036852	105	631
53	UPI0023D7CF16	IPR010259	43	146
54	UPI0023D7CF16	IPR036852	150	637
55	UPI0023D7CF16	IPR000209	172	625
56	UPI002418D4AF	IPR036852	130	521
57	UPI002418D4AF	IPR000209	168	457
58	UPI00243D06E4	IPR000209	131	404
59	UPI00243D06E4	IPR010259	51	85
60	UPI00243D06E4	IPR036852	120	412
61	UPI002425E6A6	IPR000209	290	755
62	UPI002425E6A6	IPR036852	275	764
63	UPI0024099F23	IPR000209	1	254
64	UPI0024099F23	IPR036852	1	295
65	UPI0023D169FC	IPR036852	158	342
66	UPI0023D169FC	IPR000209	173	349
67	UPI00239900AA	IPR036852	221	633
68	UPI0023208B8F	IPR000209	147	365
69	UPI0023208B8F	IPR036852	111	380
70	UPI002388B606	IPR036852	275	570
71	UPI002388B606	IPR000209	292	566
72	UPI0023388D90	IPR036852	196	281
73	UPI0022C658BD	IPR036852	75	196
74	UPI0022C658BD	IPR000209	108	196
75	UPI0024834E16	IPR036852	156	466
76	UPI0024834E16	IPR000209	175	456
77	UPI0023F0789D	IPR036852	259	558
78	UPI0023F0789D	IPR000209	260	531
79	UPI00242D3DC8	IPR036852	232	535
80	UPI00242D3DC8	IPR000209	259	525
81	UPI0023349933	IPR000209	232	509
82	UPI0023349933	IPR036852	173	540
83	UPI00241743CE	IPR036852	69	387
84	UPI00241743CE	IPR000209	83	377
85	UPI002321AEA2	IPR036852	280	514
86	UPI0023A70FC0	IPR036852	157	482
87	UPI0023A70FC0	IPR000209	190	443
88	UPI002369F69D	IPR000209	146	455
89	UPI002369F69D	IPR036852	132	465
90	UPI00240FF971	IPR000209	164	650
91	UPI00240FF971	IPR036852	145	659
92	UPI00240FF971	IPR010259	68	121
93	UPI0023E6A45E	IPR010259	42	122
94	UPI0023E6A45E	IPR036852	29	610
95	UPI0023E6A45E	IPR000209	147	557
96	UPI00234A8401	IPR000209	80	427
97	UPI00234A8401	IPR036852	62	438
98	UPI0023B28E32	IPR000209	937	1192
99	UPI0023B28E32	IPR036852	898	1234
100	UPI0022E4D960	IPR000209	127	261
101	UPI0022E4D960	IPR036852	84	269
